date,pod_id,price
2014-12-05,0431214C JP,10046.0
2014-12-12,0431214C JP,9802.0
2014-12-19,0431214C JP,9826.0
2014-12-26,0431214C JP,10040.0
2015-01-02,0431214C JP,9976.0
2015-01-09,0431214C JP,9876.0
2015-01-16,0431214C JP,9795.0
2015-01-23,0431214C JP,9935.0
2015-01-30,0431214C JP,10143.0
2015-02-06,0431214C JP,9982.0
2015-02-13,0431214C JP,10053.0
2015-02-20,0431214C JP,10263.0
2015-02-27,0431214C JP,10444.0
2015-03-06,0431214C JP,10467.0
2015-03-13,0431214C JP,10715.0
2015-03-20,0431214C JP,10864.0
2015-03-27,0431214C JP,10698.0
2015-04-03,0431214C JP,10923.0
2015-04-10,0431214C JP,11171.0
2015-04-17,0431214C JP,11068.0
2015-04-24,0431214C JP,11094.0
2015-05-01,0431214C JP,10783.0
2015-05-08,0431214C JP,10843.0
2015-05-15,0431214C JP,10983.0
2015-05-22,0431214C JP,11171.0
2015-05-29,0431214C JP,11289.0
2015-06-05,0431214C JP,11395.0
2015-06-12,0431214C JP,11406.0
2015-06-19,0431214C JP,11385.0
2015-06-26,0431214C JP,11618.0
2015-07-03,0431214C JP,11539.0
2015-07-10,0431214C JP,10960.0
2015-07-17,0431214C JP,11563.0
2015-07-24,0431214C JP,11641.0
2015-07-31,0431214C JP,11477.0
2015-08-07,0431214C JP,11554.0
2015-08-14,0431214C JP,11430.0
2015-08-21,0431214C JP,10772.0
2015-08-28,0431214C JP,10619.0
2015-09-04,0431214C JP,10032.0
2015-09-11,0431214C JP,10238.0
2015-09-18,0431214C JP,10101.0
2015-09-25,0431214C JP,10045.0
2015-10-02,0431214C JP,10252.0
2015-10-09,0431214C JP,10379.0
2015-10-16,0431214C JP,10409.0
2015-10-23,0431214C JP,10597.0
2015-10-30,0431214C JP,10595.0
2015-11-06,0431214C JP,10483.0
2015-11-13,0431214C JP,10663.0
2015-11-20,0431214C JP,10743.0
2015-11-27,0431214C JP,10845.0
2015-12-04,0431214C JP,10927.0
2015-12-11,0431214C JP,10792.0
2015-12-18,0431214C JP,10937.0
2015-12-25,0431214C JP,10721.0
2016-01-01,0431214C JP,11176.0
2016-01-08,0431214C JP,10557.0
2016-01-15,0431214C JP,9987.0
2016-01-22,0431214C JP,9732.0
2016-01-29,0431214C JP,10181.0
2016-02-05,0431214C JP,9650.0
2016-02-12,0431214C JP,8328.0
2016-02-19,0431214C JP,9119.0
2016-02-26,0431214C JP,9290.0
2016-03-04,0431214C JP,9793.0
2016-03-11,0431214C JP,9842.0
2016-03-18,0431214C JP,9955.0
2016-03-25,0431214C JP,10317.0
2016-04-01,0431214C JP,10140.0
2016-04-08,0431214C JP,10016.0
2016-04-15,0431214C JP,10476.0
2016-04-22,0431214C JP,10769.0
2016-04-29,0431214C JP,10318.0
2016-05-06,0431214C JP,10372.0
2016-05-13,0431214C JP,10835.0
2016-05-20,0431214C JP,10598.0
2016-05-27,0431214C JP,10620.0
2016-06-03,0431214C JP,10720.0
2016-06-10,0431214C JP,10897.0
2016-06-17,0431214C JP,9811.0
2016-06-24,0431214C JP,9389.0
2016-07-01,0431214C JP,10282.0
2016-07-08,0431214C JP,9818.0
2016-07-15,0431214C JP,10021.0
2016-07-22,0431214C JP,10276.0
2016-07-29,0431214C JP,9985.0
2016-08-05,0431214C JP,9360.0
2016-08-12,0431214C JP,9591.0
2016-08-19,0431214C JP,9331.0
2016-08-26,0431214C JP,9372.0
2016-09-02,0431214C JP,9517.0
2016-09-09,0431214C JP,9768.0
2016-09-16,0431214C JP,9531.0
2016-09-23,0431214C JP,9840.0
2016-09-30,0431214C JP,9999.0
2016-10-07,0431214C JP,10183.0
2016-10-14,0431214C JP,10101.0
2016-10-21,0431214C JP,10255.0
2016-10-28,0431214C JP,10271.0
2016-11-04,0431214C JP,9836.0
2016-11-11,0431214C JP,9838.0
2016-11-18,0431214C JP,10203.0
2016-11-25,0431214C JP,10196.0
2016-12-02,0431214C JP,10347.0
2016-12-09,0431214C JP,10505.0
2016-12-16,0431214C JP,10559.0
2016-12-23,0431214C JP,10529.0
2016-12-30,0431214C JP,10718.0
2017-01-06,0431214C JP,11041.0
2017-01-13,0431214C JP,11110.0
2017-01-20,0431214C JP,10972.0
2017-01-27,0431214C JP,11523.0
2017-02-03,0431214C JP,11485.0
2017-02-10,0431214C JP,11675.0
2017-02-17,0431214C JP,11688.0
2017-02-24,0431214C JP,11814.0
2017-03-03,0431214C JP,11998.0
2017-03-10,0431214C JP,12140.0
2017-03-17,0431214C JP,11804.0
2017-03-24,0431214C JP,11745.0
2017-03-31,0431214C JP,11949.0
2017-04-07,0431214C JP,11170.0
2017-04-14,0431214C JP,10568.0
2017-04-21,0431214C JP,11292.0
2017-04-28,0431214C JP,11725.0
2017-05-05,0431214C JP,11981.0
2017-05-12,0431214C JP,12298.0
2017-05-19,0431214C JP,12457.0
2017-05-26,0431214C JP,12679.0
2017-06-02,0431214C JP,12865.0
2017-06-09,0431214C JP,13192.0
2017-06-16,0431214C JP,12883.0
2017-06-23,0431214C JP,13054.0
2017-06-30,0431214C JP,12981.0
2017-07-07,0431214C JP,12823.0
2017-07-14,0431214C JP,13225.0
2017-07-21,0431214C JP,13377.0
2017-07-28,0431214C JP,13190.0
2017-08-04,0431214C JP,12895.0
2017-08-11,0431214C JP,12732.0
2017-08-18,0431214C JP,13018.0
2017-08-25,0431214C JP,13357.0
2017-09-01,0431214C JP,13798.0
2017-09-08,0431214C JP,13111.0
2017-09-15,0431214C JP,13768.0
2017-09-22,0431214C JP,13584.0
2017-09-29,0431214C JP,14165.0
2017-10-06,0431214C JP,14047.0
2017-10-13,0431214C JP,14195.0
2017-10-20,0431214C JP,13940.0
2017-10-27,0431214C JP,14552.0
2017-11-03,0431214C JP,14750.0
2017-11-10,0431214C JP,14889.0
2017-11-17,0431214C JP,14862.0
2017-11-24,0431214C JP,15614.0
2017-12-01,0431214C JP,15733.0
2017-12-08,0431214C JP,15728.0
2017-12-15,0431214C JP,15885.0
2017-12-22,0431214C JP,16269.0
2017-12-29,0431214C JP,16486.0
2018-01-05,0431214C JP,16788.0
2018-01-12,0431214C JP,17104.0
2018-01-19,0431214C JP,17239.0
2018-01-26,0431214C JP,17755.0
2018-02-02,0431214C JP,17807.0
2018-02-09,0431214C JP,15873.0
2018-02-16,0431214C JP,15986.0
2018-02-23,0431214C JP,17000.0
2018-03-02,0431214C JP,16847.0
2018-03-09,0431214C JP,16843.0
2018-03-16,0431214C JP,17341.0
2018-03-23,0431214C JP,16217.0
2018-03-30,0431214C JP,17119.0
2018-04-06,0431214C JP,16997.0
2018-04-13,0431214C JP,16845.0
2018-04-20,0431214C JP,16346.0
2018-04-27,0431214C JP,16306.0
2018-05-04,0431214C JP,16292.0
2018-05-11,0431214C JP,16382.0
2018-05-18,0431214C JP,16519.0
2018-05-25,0431214C JP,16745.0
2018-06-01,0431214C JP,16616.0
2018-06-08,0431214C JP,16637.0
2018-06-15,0431214C JP,17008.0
2018-06-22,0431214C JP,16793.0
2018-06-29,0431214C JP,16493.0
2018-07-06,0431214C JP,15903.0
2018-07-13,0431214C JP,16562.0
2018-07-20,0431214C JP,16560.0
2018-07-27,0431214C JP,16639.0
2018-08-03,0431214C JP,16013.0
2018-08-10,0431214C JP,15966.0
2018-08-17,0431214C JP,15383.0
2018-08-24,0431214C JP,15855.0
2018-08-31,0431214C JP,16464.0
2018-09-07,0431214C JP,15912.0
2018-09-14,0431214C JP,16273.0
